../DDBJ/1772-062-249_F09.2.fastq.bz2	Input file name.
04-10-2015;11:33pm	Date and Time
20.000000	selected threshold
1390188	total input reads
1257845	successfully extracted
90.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1119	low complexity
131224	match artifacts:
17630	Nextera_501
457	Nextera_502
6	Nextera_503
3899	Nextera_504
7	Nextera_505
83777	Nextera_506
17	Nextera_507
2	Nextera_508
25	Nextera_701
3	rRNA_5.8S
4680	rRNA_18S
212	rRNA_28S
15003	EC2_RNA_SPIKE_1_(750_bp)
1420	EC15_RNA_SPIKE_4_(1000_bp)
181	EC18_RNA_SPIKE_7_(1474bp)
2921	HPV18
984	HPV18_as
