../DDBJ/1772-064-103_C12.2.fastq.bz2	Input file name.
04-11-2015; 2:40am	Date and Time
20.000000	selected threshold
2072316	total input reads
1754050	successfully extracted
84.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1388	low complexity
316878	match artifacts:
55099	Nextera_501
9238	Nextera_502
242433	Nextera_503
3	Nextera_504
9	Nextera_505
12	Nextera_506
6	Nextera_507
77	Nextera_508
29	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_508_Reversed:
1	rRNA_5.8S
74	rRNA_18S
59	rRNA_28S
6667	EC2_RNA_SPIKE_1_(750_bp)
7	EC3_RNA_SPIKE_3_(1000_bp)
335	EC15_RNA_SPIKE_4_(1000_bp)
66	EC18_RNA_SPIKE_7_(1474bp)
2003	HPV18
757	HPV18_as
