../DDBJ/1772-064-103_F12.2.fastq.bz2	Input file name.
04-11-2015; 4:36am	Date and Time
20.000000	selected threshold
2066834	total input reads
1732754	successfully extracted
83.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2006	low complexity
332074	match artifacts:
49011	Nextera_501
683	Nextera_502
24	Nextera_503
11133	Nextera_504
32	Nextera_505
244113	Nextera_506
41	Nextera_507
8	Nextera_508
27	Nextera_701
2	Nextera_502_Reversed:
6	Nextera_506_Reversed:
1	Nextera_507_Reversed:
3	rRNA_5.8S
129	rRNA_18S
375	rRNA_28S
20773	EC2_RNA_SPIKE_1_(750_bp)
1480	EC15_RNA_SPIKE_4_(1000_bp)
67	EC13_RNA_SPIKE_6_(1250_bp)
365	EC18_RNA_SPIKE_7_(1474bp)
2713	HPV18
1088	HPV18_as
