../DDBJ/1772-067-038_F12.2.fastq.bz2	Input file name.
04-11-2015; 9:17am	Date and Time
20.000000	selected threshold
1004722	total input reads
854406	successfully extracted
85.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8968	low complexity
141348	match artifacts:
28758	Nextera_501
360	Nextera_502
7	Nextera_503
5843	Nextera_504
20	Nextera_505
102343	Nextera_506
40	Nextera_507
9	Nextera_508
5	Nextera_701
2	rRNA_5.8S
182	rRNA_18S
30	rRNA_28S
717	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
15	EC15_RNA_SPIKE_4_(1000_bp)
2	EC13_RNA_SPIKE_6_(1250_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
2075	HPV18
935	HPV18_as
