../DDBJ/1772-067-038_B02.2.fastq.bz2	Input file name.
04-11-2015; 6:29am	Date and Time
20.000000	selected threshold
1580328	total input reads
1459755	successfully extracted
92.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8835	low complexity
111738	match artifacts:
24300	Nextera_501
85338	Nextera_502
63	Nextera_503
5	Nextera_504
6	Nextera_505
7	Nextera_506
2	Nextera_508
6	Nextera_701
1	Nextera_502_Reversed:
8	rRNA_5.8S
28	rRNA_18S
5	rRNA_28S
289	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1202	HPV18
477	HPV18_as
