../DDBJ/1772-064-103_E01.2.fastq.bz2	Input file name.
04-11-2015; 3:20am	Date and Time
20.000000	selected threshold
2056457	total input reads
1771042	successfully extracted
86.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2024	low complexity
283391	match artifacts:
51592	Nextera_501
104	Nextera_502
7	Nextera_503
34	Nextera_504
212736	Nextera_505
13	Nextera_506
5	Nextera_507
14	Nextera_508
29	Nextera_701
1	Nextera_506_Reversed:
1	Nextera_507_Reversed:
5	rRNA_5.8S
24	rRNA_18S
21	rRNA_28S
12751	EC2_RNA_SPIKE_1_(750_bp)
971	EC15_RNA_SPIKE_4_(1000_bp)
35	EC18_RNA_SPIKE_7_(1474bp)
3710	HPV18
1338	HPV18_as
