../DDBJ/1772-062-248_E06.2.fastq.bz2	Input file name.
04-10-2015; 6:08pm	Date and Time
20.000000	selected threshold
1842001	total input reads
1645512	successfully extracted
89.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3047	low complexity
193442	match artifacts:
38290	Nextera_501
55	Nextera_502
6	Nextera_503
49	Nextera_504
134765	Nextera_505
7	Nextera_506
14	Nextera_507
9	Nextera_508
40	Nextera_701
1	Nextera_503_Reversed:
1	Nextera_505_Reversed:
2	Nextera_508_Reversed:
2180	rRNA_18S
118	rRNA_28S
10183	EC2_RNA_SPIKE_1_(750_bp)
891	EC15_RNA_SPIKE_4_(1000_bp)
66	EC18_RNA_SPIKE_7_(1474bp)
4984	HPV18
1781	HPV18_as
