../DDBJ/1772-062-249_H01.1.fastq.bz2	Input file name.
04-11-2015;12:10am	Date and Time
20.000000	selected threshold
1066713	total input reads
981062	successfully extracted
92.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4637	low complexity
81014	match artifacts:
52753	Nextera_701
2	Nextera_702
77	Nextera_703
2	Nextera_704
5	Nextera_705
5	Nextera_706
4	Nextera_708
8	Nextera_709
1	Nextera_710
7	Nextera_711
4	Nextera_712
190	Nextera_701_Reversed:
1	Nextera_704_Reversed:
4	Nextera_705_Reversed:
3	Nextera_706_Reversed:
2	Nextera_710_Reversed:
1	Nextera_711_Reversed:
41	Nextera_712_Reversed:
4753	rRNA_18S
237	rRNA_28S
15066	EC2_RNA_SPIKE_1_(750_bp)
1309	EC15_RNA_SPIKE_4_(1000_bp)
193	EC18_RNA_SPIKE_7_(1474bp)
4900	HPV18
1446	HPV18_as
