../DDBJ/1772-064-103_E07.1.fastq.bz2	Input file name.
04-11-2015; 3:39am	Date and Time
20.000000	selected threshold
1664295	total input reads
1406851	successfully extracted
84.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7488	low complexity
249956	match artifacts:
42537	Nextera_701
6758	Nextera_702
25	Nextera_703
141	Nextera_704
34	Nextera_705
61	Nextera_706
191578	Nextera_707
35	Nextera_708
2	Nextera_709
31	Nextera_710
25	Nextera_711
41	Nextera_712
11	Nextera_701_Reversed:
15	Nextera_702_Reversed:
25	Nextera_703_Reversed:
16	Nextera_704_Reversed:
23	Nextera_705_Reversed:
21	Nextera_706_Reversed:
1090	Nextera_707_Reversed:
24	Nextera_708_Reversed:
1	Nextera_710_Reversed:
5	Nextera_711_Reversed:
17	Nextera_712_Reversed:
5	rRNA_5.8S
81	rRNA_18S
24	rRNA_28S
4463	EC2_RNA_SPIKE_1_(750_bp)
12	EC3_RNA_SPIKE_3_(1000_bp)
587	EC15_RNA_SPIKE_4_(1000_bp)
75	EC18_RNA_SPIKE_7_(1474bp)
1591	HPV18
602	HPV18_as
