../DDBJ/1772-067-038_B04.2.fastq.bz2	Input file name.
04-11-2015; 6:36am	Date and Time
20.000000	selected threshold
1686000	total input reads
1541600	successfully extracted
91.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9950	low complexity
134450	match artifacts:
29237	Nextera_501
103753	Nextera_502
69	Nextera_503
10	Nextera_504
9	Nextera_505
14	Nextera_506
3	Nextera_507
1	Nextera_508
8	Nextera_701
1	Nextera_502_Reversed:
144	rRNA_18S
8	rRNA_28S
277	EC2_RNA_SPIKE_1_(750_bp)
49	EC15_RNA_SPIKE_4_(1000_bp)
638	HPV18
229	HPV18_as
