../DDBJ/1772-067-038_C10.2.fastq.bz2	Input file name.
04-11-2015; 7:23am	Date and Time
20.000000	selected threshold
592494	total input reads
513088	successfully extracted
86.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10478	low complexity
68928	match artifacts:
13790	Nextera_501
2853	Nextera_502
51223	Nextera_503
2	Nextera_504
2	Nextera_505
2	Nextera_506
1	Nextera_507
54	Nextera_508
6	Nextera_701
1	Nextera_503_Reversed:
1	rRNA_5.8S
121	rRNA_18S
65	rRNA_28S
647	EC2_RNA_SPIKE_1_(750_bp)
73	HPV18
87	HPV18_as
