../DDBJ/1772-067-038_A05.2.fastq.bz2	Input file name.
04-11-2015; 6:05am	Date and Time
20.000000	selected threshold
18531	total input reads
12547	successfully extracted
67.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1029	low complexity
4955	match artifacts:
2546	Nextera_501
3	Nextera_502
1	Nextera_503
2	Nextera_504
1	Nextera_505
1	Nextera_508
1	Nextera_501_Reversed:
2388	EC2_RNA_SPIKE_1_(750_bp)
4	EC15_RNA_SPIKE_4_(1000_bp)
7	EC18_RNA_SPIKE_7_(1474bp)
1	HPV18
