../DDBJ/1772-062-249_H03.1.fastq.bz2	Input file name.
04-11-2015;12:14am	Date and Time
20.000000	selected threshold
754023	total input reads
694582	successfully extracted
92.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6077	low complexity
53364	match artifacts:
1	Nextera_501
7720	Nextera_701
4	Nextera_702
31187	Nextera_703
3	Nextera_704
1	Nextera_705
4	Nextera_706
3	Nextera_707
3	Nextera_708
5	Nextera_709
2	Nextera_711
1	Nextera_712
1	Nextera_701_Reversed:
124	Nextera_703_Reversed:
3	Nextera_704_Reversed:
3	Nextera_705_Reversed:
2	Nextera_710_Reversed:
2	Nextera_711_Reversed:
30	Nextera_712_Reversed:
3	rRNA_5.8S
2257	rRNA_18S
125	rRNA_28S
6837	EC2_RNA_SPIKE_1_(750_bp)
453	EC15_RNA_SPIKE_4_(1000_bp)
118	EC18_RNA_SPIKE_7_(1474bp)
3499	HPV18
973	HPV18_as
