../DDBJ/1772-067-039_F08.2.fastq.bz2	Input file name.
04-11-2015;12:33pm	Date and Time
20.000000	selected threshold
1661289	total input reads
1521985	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7914	low complexity
131390	match artifacts:
29833	Nextera_501
478	Nextera_502
27	Nextera_503
5672	Nextera_504
15	Nextera_505
92099	Nextera_506
54	Nextera_507
10	Nextera_508
5	Nextera_701
2	rRNA_5.8S
821	rRNA_18S
72	rRNA_28S
220	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1441	HPV18
640	HPV18_as
