../DDBJ/1772-062-248_B09.2.fastq.bz2	Input file name.
04-10-2015; 4:17pm	Date and Time
20.000000	selected threshold
295479	total input reads
78910	successfully extracted
26.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1837	low complexity
214732	match artifacts:
8201	Nextera_501
43782	Nextera_502
17	Nextera_503
5	Nextera_504
6	Nextera_505
7	Nextera_506
5	Nextera_507
3	Nextera_508
9	Nextera_701
12	Nextera_502_Reversed:
1	Nextera_503_Reversed:
5	rRNA_18S
2	rRNA_28S
151976	EC2_RNA_SPIKE_1_(750_bp)
9691	EC15_RNA_SPIKE_4_(1000_bp)
993	EC18_RNA_SPIKE_7_(1474bp)
14	HPV18
3	HPV18_as
