../DDBJ/1772-067-038_D06.1.fastq.bz2	Input file name.
04-11-2015; 7:47am	Date and Time
20.000000	selected threshold
1352322	total input reads
1160736	successfully extracted
85.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7010	low complexity
184576	match artifacts:
1	Nextera_501
50869	Nextera_701
56	Nextera_702
100	Nextera_703
12	Nextera_704
26	Nextera_705
130535	Nextera_706
6	Nextera_707
21	Nextera_708
14	Nextera_709
3	Nextera_710
30	Nextera_711
9	Nextera_712
6	Nextera_701_Reversed:
1	Nextera_702_Reversed:
4	Nextera_703_Reversed:
2	Nextera_704_Reversed:
1	Nextera_705_Reversed:
201	Nextera_706_Reversed:
1	Nextera_708_Reversed:
2	Nextera_709_Reversed:
157	rRNA_18S
22	rRNA_28S
2189	EC2_RNA_SPIKE_1_(750_bp)
2	EC15_RNA_SPIKE_4_(1000_bp)
248	HPV18
58	HPV18_as
