../DDBJ/1772-062-248_D09.2.fastq.bz2	Input file name.
04-10-2015; 5:39pm	Date and Time
20.000000	selected threshold
1485413	total input reads
1293233	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1586	low complexity
190594	match artifacts:
30922	Nextera_501
359	Nextera_502
8	Nextera_503
143162	Nextera_504
2599	Nextera_505
12	Nextera_506
14	Nextera_507
7	Nextera_508
29	Nextera_701
1	Nextera_502_Reversed:
2	Nextera_504_Reversed:
1	rRNA_5.8S
2488	rRNA_18S
120	rRNA_28S
6696	EC2_RNA_SPIKE_1_(750_bp)
650	EC15_RNA_SPIKE_4_(1000_bp)
11	EC18_RNA_SPIKE_7_(1474bp)
2576	HPV18
937	HPV18_as
