../DDBJ/1772-064-103_C06.2.fastq.bz2	Input file name.
04-11-2015; 2:17am	Date and Time
20.000000	selected threshold
1757265	total input reads
1522142	successfully extracted
86.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2013	low complexity
233110	match artifacts:
41173	Nextera_501
6852	Nextera_502
176049	Nextera_503
3	Nextera_504
3	Nextera_505
8	Nextera_506
4	Nextera_507
65	Nextera_508
31	Nextera_701
1	Nextera_502_Reversed:
2	Nextera_503_Reversed:
2	Nextera_504_Reversed:
8	rRNA_5.8S
121	rRNA_18S
28	rRNA_28S
5885	EC2_RNA_SPIKE_1_(750_bp)
358	EC15_RNA_SPIKE_4_(1000_bp)
2	EC18_RNA_SPIKE_7_(1474bp)
1897	HPV18
618	HPV18_as
