../DDBJ/1772-067-038_E04.2.fastq.bz2	Input file name.
04-11-2015; 8:18am	Date and Time
20.000000	selected threshold
880156	total input reads
777686	successfully extracted
88.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6079	low complexity
96391	match artifacts:
23348	Nextera_501
135	Nextera_502
1	Nextera_503
27	Nextera_504
67995	Nextera_505
4	Nextera_507
11	Nextera_508
2	Nextera_701
117	rRNA_18S
15	rRNA_28S
3081	EC2_RNA_SPIKE_1_(750_bp)
6	EC15_RNA_SPIKE_4_(1000_bp)
1122	HPV18
527	HPV18_as
