../DDBJ/1772-062-248_A12.2.fastq.bz2	Input file name.
04-10-2015; 3:50pm	Date and Time
20.000000	selected threshold
1617026	total input reads
1408362	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2963	low complexity
205701	match artifacts:
188101	Nextera_501
26	Nextera_502
8	Nextera_503
32	Nextera_504
177	Nextera_505
5	Nextera_506
4	Nextera_507
12	Nextera_508
28	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_507_Reversed:
1	rRNA_5.8S
1793	rRNA_18S
109	rRNA_28S
5523	EC2_RNA_SPIKE_1_(750_bp)
553	EC15_RNA_SPIKE_4_(1000_bp)
10	EC18_RNA_SPIKE_7_(1474bp)
6708	HPV18
2609	HPV18_as
