../DDBJ/1772-067-039_G06.1.fastq.bz2	Input file name.
04-11-2015;12:54pm	Date and Time
20.000000	selected threshold
1535901	total input reads
1353216	successfully extracted
88.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10738	low complexity
171947	match artifacts:
47668	Nextera_701
48	Nextera_702
107	Nextera_703
23	Nextera_704
24	Nextera_705
118121	Nextera_706
5	Nextera_707
24	Nextera_708
21	Nextera_709
6	Nextera_710
29	Nextera_711
26	Nextera_712
2	Nextera_701_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
1	Nextera_705_Reversed:
77	Nextera_706_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
2	rRNA_5.8S
1130	rRNA_18S
110	rRNA_28S
209	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
3248	HPV18
1059	HPV18_as
