../DDBJ/1772-062-248_E09.2.fastq.bz2	Input file name.
04-10-2015; 6:18pm	Date and Time
20.000000	selected threshold
1523148	total input reads
1347423	successfully extracted
88.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2127	low complexity
173598	match artifacts:
34247	Nextera_501
41	Nextera_502
12	Nextera_503
51	Nextera_504
122186	Nextera_505
6	Nextera_506
7	Nextera_507
11	Nextera_508
24	Nextera_701
1	Nextera_506_Reversed:
2606	rRNA_18S
132	rRNA_28S
9932	EC2_RNA_SPIKE_1_(750_bp)
839	EC15_RNA_SPIKE_4_(1000_bp)
40	EC18_RNA_SPIKE_7_(1474bp)
2533	HPV18
930	HPV18_as
