../DDBJ/1772-062-249_B02.1.fastq.bz2	Input file name.
04-10-2015; 9:31pm	Date and Time
20.000000	selected threshold
1060293	total input reads
967490	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3495	low complexity
89308	match artifacts:
13838	Nextera_701
57549	Nextera_702
1	Nextera_703
3	Nextera_704
6	Nextera_705
5	Nextera_706
7	Nextera_707
5	Nextera_708
10	Nextera_709
105	Nextera_710
4	Nextera_711
11	Nextera_712
4	Nextera_701_Reversed:
194	Nextera_702_Reversed:
5	Nextera_703_Reversed:
2	Nextera_704_Reversed:
2	Nextera_705_Reversed:
2	Nextera_706_Reversed:
2	Nextera_707_Reversed:
5	Nextera_709_Reversed:
11	Nextera_710_Reversed:
103	Nextera_711_Reversed:
17	Nextera_712_Reversed:
2901	rRNA_18S
100	rRNA_28S
9722	EC2_RNA_SPIKE_1_(750_bp)
919	EC15_RNA_SPIKE_4_(1000_bp)
32	EC18_RNA_SPIKE_7_(1474bp)
2866	HPV18
877	HPV18_as
