../DDBJ/1772-062-248_F12.2.fastq.bz2	Input file name.
04-10-2015; 7:19pm	Date and Time
20.000000	selected threshold
3001611	total input reads
2580530	successfully extracted
86.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3439	low complexity
417642	match artifacts:
65511	Nextera_501
3251	Nextera_502
21	Nextera_503
12523	Nextera_504
55	Nextera_505
293373	Nextera_506
145	Nextera_507
25	Nextera_508
58	Nextera_701
3	rRNA_5.8S
5329	rRNA_18S
312	rRNA_28S
26506	EC2_RNA_SPIKE_1_(750_bp)
2668	EC15_RNA_SPIKE_4_(1000_bp)
8	EC18_RNA_SPIKE_7_(1474bp)
5592	HPV18
2262	HPV18_as
