../DDBJ/1772-062-248_G09.2.fastq.bz2	Input file name.
04-10-2015; 7:55pm	Date and Time
20.000000	selected threshold
1933449	total input reads
1685154	successfully extracted
87.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2318	low complexity
245977	match artifacts:
38777	Nextera_501
2608	Nextera_502
10	Nextera_503
6741	Nextera_504
224	Nextera_505
6604	Nextera_506
166050	Nextera_507
5	Nextera_508
44	Nextera_701
1	rRNA_5.8S
3589	rRNA_18S
275	rRNA_28S
12577	EC2_RNA_SPIKE_1_(750_bp)
1169	EC15_RNA_SPIKE_4_(1000_bp)
68	EC18_RNA_SPIKE_7_(1474bp)
5297	HPV18
1938	HPV18_as
