../DDBJ/1772-062-249_E06.2.fastq.bz2	Input file name.
04-10-2015;10:59pm	Date and Time
20.000000	selected threshold
1422392	total input reads
1289783	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1420	low complexity
131189	match artifacts:
20647	Nextera_501
9	Nextera_502
2	Nextera_503
16	Nextera_504
81793	Nextera_505
4	Nextera_506
7	Nextera_507
5	Nextera_508
19	Nextera_701
1	Nextera_504_Reversed:
1	Nextera_505_Reversed:
1	Nextera_507_Reversed:
1	Nextera_508_Reversed:
1	rRNA_5.8S
2695	rRNA_18S
221	rRNA_28S
16831	EC2_RNA_SPIKE_1_(750_bp)
1366	EC15_RNA_SPIKE_4_(1000_bp)
176	EC18_RNA_SPIKE_7_(1474bp)
5546	HPV18
1847	HPV18_as
