../DDBJ/1772-067-038_C02.2.fastq.bz2	Input file name.
04-11-2015; 7:02am	Date and Time
20.000000	selected threshold
1778679	total input reads
1632596	successfully extracted
91.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8932	low complexity
137151	match artifacts:
29144	Nextera_501
5634	Nextera_502
98547	Nextera_503
2	Nextera_504
3	Nextera_505
3	Nextera_506
1	Nextera_507
87	Nextera_508
8	Nextera_701
1	Nextera_503_Reversed:
67	rRNA_18S
23	rRNA_28S
230	EC2_RNA_SPIKE_1_(750_bp)
2441	HPV18
960	HPV18_as
