../DDBJ/1772-062-248_F04.2.fastq.bz2	Input file name.
04-10-2015; 6:45pm	Date and Time
20.000000	selected threshold
458052	total input reads
114455	successfully extracted
25.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2616	low complexity
340981	match artifacts:
11938	Nextera_501
940	Nextera_502
5	Nextera_503
2654	Nextera_504
17	Nextera_505
57546	Nextera_506
49	Nextera_507
9	Nextera_508
15	Nextera_701
2	Nextera_502_Reversed:
1	Nextera_504_Reversed:
13	Nextera_506_Reversed:
1	Nextera_508_Reversed:
24	rRNA_18S
4	rRNA_28S
253508	EC2_RNA_SPIKE_1_(750_bp)
13328	EC15_RNA_SPIKE_4_(1000_bp)
922	EC18_RNA_SPIKE_7_(1474bp)
4	HPV18
1	HPV18_as
