../DDBJ/1772-067-039_D04.1.fastq.bz2	Input file name.
04-11-2015;11:32am	Date and Time
20.000000	selected threshold
17235	total input reads
11936	successfully extracted
69.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
491	low complexity
4808	match artifacts:
792	Nextera_701
6	Nextera_702
9	Nextera_703
2494	Nextera_704
45	Nextera_705
11	Nextera_707
4	Nextera_708
33	Nextera_709
4	Nextera_710
21	Nextera_711
33	Nextera_712
1	Nextera_701_Reversed:
1	Nextera_703_Reversed:
133	Nextera_704_Reversed:
2	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_711_Reversed:
1	Nextera_712_Reversed:
88	rRNA_18S
6	rRNA_28S
930	EC2_RNA_SPIKE_1_(750_bp)
184	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
4	HPV18
