../DDBJ/1772-062-249_A12.1.fastq.bz2	Input file name.
04-10-2015; 9:25pm	Date and Time
20.000000	selected threshold
1989831	total input reads
1766575	successfully extracted
88.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2098	low complexity
221158	match artifacts:
1	Nextera_501
36541	Nextera_701
17	Nextera_702
12	Nextera_703
9	Nextera_704
5646	Nextera_705
139	Nextera_706
2	Nextera_707
36	Nextera_708
22	Nextera_709
8	Nextera_710
21	Nextera_711
150931	Nextera_712
9	Nextera_701_Reversed:
2	Nextera_703_Reversed:
4	Nextera_704_Reversed:
17	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_709_Reversed:
15	Nextera_711_Reversed:
1791	Nextera_712_Reversed:
4342	rRNA_18S
181	rRNA_28S
17071	EC2_RNA_SPIKE_1_(750_bp)
1546	EC15_RNA_SPIKE_4_(1000_bp)
230	EC18_RNA_SPIKE_7_(1474bp)
1981	HPV18
581	HPV18_as
