../DDBJ/1772-064-103_E11.2.fastq.bz2	Input file name.
04-11-2015; 3:54am	Date and Time
20.000000	selected threshold
1847187	total input reads
1589884	successfully extracted
86.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1793	low complexity
255510	match artifacts:
48040	Nextera_501
121	Nextera_502
9	Nextera_503
24	Nextera_504
197979	Nextera_505
10	Nextera_506
16	Nextera_507
11	Nextera_508
27	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_502_Reversed:
1	Nextera_504_Reversed:
1	Nextera_505_Reversed:
2	Nextera_507_Reversed:
5	rRNA_5.8S
140	rRNA_18S
50	rRNA_28S
6642	EC2_RNA_SPIKE_1_(750_bp)
499	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
1364	HPV18
562	HPV18_as
