../DDBJ/1772-067-038_B04.1.fastq.bz2	Input file name.
04-11-2015; 6:34am	Date and Time
20.000000	selected threshold
1686000	total input reads
1507227	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
14421	low complexity
164352	match artifacts:
41567	Nextera_701
69	Nextera_702
17	Nextera_703
121019	Nextera_704
23	Nextera_705
17	Nextera_706
6	Nextera_707
3	Nextera_708
26	Nextera_709
2	Nextera_710
12	Nextera_711
15	Nextera_712
3	Nextera_701_Reversed:
217	Nextera_704_Reversed:
2	Nextera_706_Reversed:
6	Nextera_709_Reversed:
2	Nextera_710_Reversed:
1	Nextera_711_Reversed:
2	Nextera_712_Reversed:
137	rRNA_18S
10	rRNA_28S
269	EC2_RNA_SPIKE_1_(750_bp)
52	EC15_RNA_SPIKE_4_(1000_bp)
657	HPV18
218	HPV18_as
