../DDBJ/1772-062-249_A06.1.fastq.bz2	Input file name.
04-10-2015; 9:10pm	Date and Time
20.000000	selected threshold
1160058	total input reads
1060423	successfully extracted
91.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4245	low complexity
95390	match artifacts:
19290	Nextera_701
13	Nextera_702
131	Nextera_703
4	Nextera_704
11	Nextera_705
56091	Nextera_706
2	Nextera_707
4	Nextera_708
3	Nextera_709
3	Nextera_710
7	Nextera_711
5	Nextera_712
7	Nextera_701_Reversed:
4	Nextera_704_Reversed:
219	Nextera_706_Reversed:
1	Nextera_709_Reversed:
7	Nextera_711_Reversed:
6	Nextera_712_Reversed:
1	rRNA_5.8S
3293	rRNA_18S
111	rRNA_28S
7627	EC2_RNA_SPIKE_1_(750_bp)
686	EC15_RNA_SPIKE_4_(1000_bp)
46	EC18_RNA_SPIKE_7_(1474bp)
6024	HPV18
1794	HPV18_as
