../DDBJ/1772-064-103_A03.2.fastq.bz2	Input file name.
04-11-2015;12:42am	Date and Time
20.000000	selected threshold
1980343	total input reads
1677649	successfully extracted
84.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1591	low complexity
301103	match artifacts:
287203	Nextera_501
37	Nextera_502
19	Nextera_503
16	Nextera_504
50	Nextera_505
12	Nextera_506
7	Nextera_507
7	Nextera_508
35	Nextera_701
3	Nextera_501_Reversed:
2	Nextera_502_Reversed:
1	Nextera_505_Reversed:
2	Nextera_506_Reversed:
2	rRNA_5.8S
123	rRNA_18S
45	rRNA_28S
12070	EC2_RNA_SPIKE_1_(750_bp)
632	EC15_RNA_SPIKE_4_(1000_bp)
25	EC18_RNA_SPIKE_7_(1474bp)
573	HPV18
239	HPV18_as
