../DDBJ/1772-064-103_G05.2.fastq.bz2	Input file name.
04-11-2015; 4:54am	Date and Time
20.000000	selected threshold
1735358	total input reads
1496731	successfully extracted
86.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1846	low complexity
236781	match artifacts:
36326	Nextera_501
1099	Nextera_502
13	Nextera_503
7950	Nextera_504
139	Nextera_505
6908	Nextera_506
170038	Nextera_507
8	Nextera_508
21	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_503_Reversed:
1	Nextera_505_Reversed:
4	Nextera_506_Reversed:
1	Nextera_507_Reversed:
1	Nextera_508_Reversed:
122	rRNA_18S
39	rRNA_28S
10017	EC2_RNA_SPIKE_1_(750_bp)
516	EC15_RNA_SPIKE_4_(1000_bp)
19	EC18_RNA_SPIKE_7_(1474bp)
2586	HPV18
971	HPV18_as
