../DDBJ/1772-062-249_E04.2.fastq.bz2	Input file name.
04-10-2015;10:54pm	Date and Time
20.000000	selected threshold
1040649	total input reads
967598	successfully extracted
93.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2011	low complexity
71040	match artifacts:
11215	Nextera_501
4	Nextera_502
2	Nextera_503
4	Nextera_504
41620	Nextera_505
1	Nextera_507
1	Nextera_508
23	Nextera_701
3	rRNA_5.8S
2375	rRNA_18S
111	rRNA_28S
10992	EC2_RNA_SPIKE_1_(750_bp)
1083	EC15_RNA_SPIKE_4_(1000_bp)
58	EC18_RNA_SPIKE_7_(1474bp)
2686	HPV18
862	HPV18_as
