../DDBJ/1772-067-038_H05.1.fastq.bz2	Input file name.
04-11-2015; 9:57am	Date and Time
20.000000	selected threshold
1837836	total input reads
1669115	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11956	low complexity
156765	match artifacts:
34703	Nextera_701
52	Nextera_702
163	Nextera_703
18	Nextera_704
118313	Nextera_705
25	Nextera_706
5	Nextera_707
12	Nextera_709
2	Nextera_710
19	Nextera_711
16	Nextera_712
4	Nextera_701_Reversed:
2	Nextera_703_Reversed:
2	Nextera_704_Reversed:
183	Nextera_705_Reversed:
1	Nextera_706_Reversed:
7	Nextera_709_Reversed:
1	Nextera_710_Reversed:
1	Nextera_711_Reversed:
3	Nextera_712_Reversed:
1	rRNA_5.8S
219	rRNA_18S
40	rRNA_28S
106	EC2_RNA_SPIKE_1_(750_bp)
2124	HPV18
743	HPV18_as
