../DDBJ/1772-064-103_A06.1.fastq.bz2	Input file name.
04-11-2015;12:50am	Date and Time
20.000000	selected threshold
1710671	total input reads
1460096	successfully extracted
85.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6376	low complexity
244199	match artifacts:
54780	Nextera_701
67	Nextera_702
188	Nextera_703
33	Nextera_704
33	Nextera_705
174108	Nextera_706
16	Nextera_707
54	Nextera_708
15	Nextera_710
43	Nextera_711
22	Nextera_712
55	Nextera_701_Reversed:
1	Nextera_702_Reversed:
10	Nextera_703_Reversed:
9	Nextera_704_Reversed:
13	Nextera_705_Reversed:
1113	Nextera_706_Reversed:
1	Nextera_707_Reversed:
3	Nextera_708_Reversed:
1	Nextera_710_Reversed:
21	Nextera_711_Reversed:
8	Nextera_712_Reversed:
87	rRNA_18S
15	rRNA_28S
11785	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
783	EC15_RNA_SPIKE_4_(1000_bp)
79	EC18_RNA_SPIKE_7_(1474bp)
648	HPV18
207	HPV18_as
