../DDBJ/1772-067-038_A04.2.fastq.bz2	Input file name.
04-11-2015; 6:05am	Date and Time
20.000000	selected threshold
1317606	total input reads
1197220	successfully extracted
90.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9143	low complexity
111243	match artifacts:
106245	Nextera_501
34	Nextera_502
5	Nextera_503
37	Nextera_504
31	Nextera_505
2	Nextera_506
9	Nextera_508
1	Nextera_701
66	rRNA_18S
38	rRNA_28S
590	EC2_RNA_SPIKE_1_(750_bp)
3057	HPV18
1128	HPV18_as
