../DDBJ/1772-067-038_B11.2.fastq.bz2	Input file name.
04-11-2015; 6:51am	Date and Time
20.000000	selected threshold
1572769	total input reads
1444798	successfully extracted
91.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10959	low complexity
117012	match artifacts:
25040	Nextera_501
89748	Nextera_502
74	Nextera_503
7	Nextera_504
4	Nextera_505
6	Nextera_506
2	Nextera_508
2	Nextera_701
1	rRNA_5.8S
36	rRNA_18S
37	rRNA_28S
303	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1277	HPV18
474	HPV18_as
