../DDBJ/1772-067-038_D05.2.fastq.bz2	Input file name.
04-11-2015; 7:45am	Date and Time
20.000000	selected threshold
1992991	total input reads
1801366	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8969	low complexity
182656	match artifacts:
38603	Nextera_501
737	Nextera_502
6	Nextera_503
139459	Nextera_504
607	Nextera_505
15	Nextera_506
7	Nextera_507
8	Nextera_508
6	Nextera_701
55	rRNA_18S
9	rRNA_28S
337	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1992	HPV18
814	HPV18_as
