../DDBJ/1772-062-249_B07.2.fastq.bz2	Input file name.
04-10-2015; 9:43pm	Date and Time
20.000000	selected threshold
1384431	total input reads
1244387	successfully extracted
89.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1643	low complexity
138401	match artifacts:
18908	Nextera_501
95362	Nextera_502
8	Nextera_503
5	Nextera_504
2	Nextera_505
9	Nextera_506
1	Nextera_507
14	Nextera_701
2	Nextera_502_Reversed:
1	rRNA_5.8S
4177	rRNA_18S
191	rRNA_28S
12590	EC2_RNA_SPIKE_1_(750_bp)
1245	EC15_RNA_SPIKE_4_(1000_bp)
237	EC18_RNA_SPIKE_7_(1474bp)
4251	HPV18
1398	HPV18_as
