../DDBJ/1772-067-038_B09.2.fastq.bz2	Input file name.
04-11-2015; 6:48am	Date and Time
20.000000	selected threshold
1431570	total input reads
1310783	successfully extracted
91.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7259	low complexity
113528	match artifacts:
23894	Nextera_501
86056	Nextera_502
49	Nextera_503
10	Nextera_504
5	Nextera_505
9	Nextera_506
3	Nextera_701
2	rRNA_5.8S
56	rRNA_18S
11	rRNA_28S
115	EC2_RNA_SPIKE_1_(750_bp)
2378	HPV18
940	HPV18_as
