../DDBJ/1772-067-039_C04.1.fastq.bz2	Input file name.
04-11-2015;10:57am	Date and Time
20.000000	selected threshold
1379892	total input reads
1238858	successfully extracted
89.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9109	low complexity
131925	match artifacts:
32605	Nextera_701
63	Nextera_702
9	Nextera_703
94305	Nextera_704
22	Nextera_705
35	Nextera_706
11	Nextera_707
11	Nextera_708
45	Nextera_709
13	Nextera_710
35	Nextera_711
46	Nextera_712
4	Nextera_701_Reversed:
110	Nextera_704_Reversed:
5	Nextera_705_Reversed:
1	Nextera_706_Reversed:
1	Nextera_707_Reversed:
2	Nextera_710_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
2	rRNA_5.8S
468	rRNA_18S
49	rRNA_28S
167	EC2_RNA_SPIKE_1_(750_bp)
3006	HPV18
907	HPV18_as
