../DDBJ/1772-067-039_C08.2.fastq.bz2	Input file name.
04-11-2015;11:09am	Date and Time
20.000000	selected threshold
1742283	total input reads
1591093	successfully extracted
91.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7538	low complexity
143652	match artifacts:
30455	Nextera_501
6329	Nextera_502
100658	Nextera_503
1	Nextera_504
1	Nextera_505
5	Nextera_506
1	Nextera_507
100	Nextera_508
9	Nextera_701
2	rRNA_5.8S
452	rRNA_18S
93	rRNA_28S
219	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
3677	HPV18
1649	HPV18_as
