../DDBJ/1772-062-249_F01.1.fastq.bz2	Input file name.
04-10-2015;11:17pm	Date and Time
20.000000	selected threshold
1277507	total input reads
1159519	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4529	low complexity
113459	match artifacts:
80144	Nextera_701
5	Nextera_702
82	Nextera_703
7	Nextera_704
8	Nextera_705
6	Nextera_706
1	Nextera_707
3	Nextera_708
6	Nextera_709
4	Nextera_710
14	Nextera_711
9	Nextera_712
256	Nextera_701_Reversed:
33	Nextera_703_Reversed:
6	Nextera_704_Reversed:
1	Nextera_705_Reversed:
33	Nextera_706_Reversed:
2	Nextera_707_Reversed:
4	Nextera_709_Reversed:
5	Nextera_711_Reversed:
14	Nextera_712_Reversed:
3955	rRNA_18S
159	rRNA_28S
17420	EC2_RNA_SPIKE_1_(750_bp)
1383	EC15_RNA_SPIKE_4_(1000_bp)
179	EC18_RNA_SPIKE_7_(1474bp)
7458	HPV18
2262	HPV18_as
