../DDBJ/1772-064-103_C05.2.fastq.bz2	Input file name.
04-11-2015; 2:14am	Date and Time
20.000000	selected threshold
1974774	total input reads
1680134	successfully extracted
85.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1770	low complexity
292870	match artifacts:
50169	Nextera_501
8594	Nextera_502
216679	Nextera_503
9	Nextera_504
6	Nextera_505
5	Nextera_506
7	Nextera_507
76	Nextera_508
36	Nextera_701
1	Nextera_502_Reversed:
2	Nextera_503_Reversed:
2	Nextera_505_Reversed:
1	Nextera_506_Reversed:
1	Nextera_507_Reversed:
1	rRNA_5.8S
248	rRNA_18S
41	rRNA_28S
14905	EC2_RNA_SPIKE_1_(750_bp)
553	EC15_RNA_SPIKE_4_(1000_bp)
11	EC18_RNA_SPIKE_7_(1474bp)
1091	HPV18
432	HPV18_as
