../DDBJ/1772-062-248_B06.2.fastq.bz2	Input file name.
04-10-2015; 4:11pm	Date and Time
20.000000	selected threshold
320825	total input reads
82920	successfully extracted
25.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2403	low complexity
235502	match artifacts:
8667	Nextera_501
45394	Nextera_502
9	Nextera_503
7	Nextera_504
4	Nextera_505
7	Nextera_506
3	Nextera_507
5	Nextera_508
14	Nextera_701
1	Nextera_501_Reversed:
12	Nextera_502_Reversed:
1	Nextera_504_Reversed:
13	rRNA_18S
7	rRNA_28S
168913	EC2_RNA_SPIKE_1_(750_bp)
11122	EC15_RNA_SPIKE_4_(1000_bp)
1320	EC18_RNA_SPIKE_7_(1474bp)
3	HPV18
