../DDBJ/1772-062-248_B11.2.fastq.bz2	Input file name.
04-10-2015; 4:25pm	Date and Time
20.000000	selected threshold
2147626	total input reads
1895104	successfully extracted
88.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2642	low complexity
249880	match artifacts:
41057	Nextera_501
187789	Nextera_502
27	Nextera_503
16	Nextera_504
9	Nextera_505
19	Nextera_506
3	Nextera_507
5	Nextera_508
37	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_502_Reversed:
2	Nextera_503_Reversed:
1	Nextera_504_Reversed:
1	Nextera_506_Reversed:
5	rRNA_5.8S
3423	rRNA_18S
151	rRNA_28S
12681	EC2_RNA_SPIKE_1_(750_bp)
896	EC15_RNA_SPIKE_4_(1000_bp)
39	EC18_RNA_SPIKE_7_(1474bp)
2655	HPV18
1061	HPV18_as
