../DDBJ/1772-062-248_C03.2.fastq.bz2	Input file name.
04-10-2015; 4:39pm	Date and Time
20.000000	selected threshold
2774622	total input reads
2417450	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4130	low complexity
353042	match artifacts:
60330	Nextera_501
11412	Nextera_502
238986	Nextera_503
3	Nextera_504
9	Nextera_505
8	Nextera_506
1	Nextera_507
1300	Nextera_508
50	Nextera_701
1	Nextera_501_Reversed:
5	Nextera_503_Reversed:
4	rRNA_5.8S
5240	rRNA_18S
238	rRNA_28S
21845	EC2_RNA_SPIKE_1_(750_bp)
1595	EC15_RNA_SPIKE_4_(1000_bp)
394	EC18_RNA_SPIKE_7_(1474bp)
8347	HPV18
3274	HPV18_as
