../DDBJ/1772-067-039_F08.1.fastq.bz2	Input file name.
04-11-2015;12:32pm	Date and Time
20.000000	selected threshold
1661289	total input reads
1467455	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8345	low complexity
185489	match artifacts:
40116	Nextera_701
6136	Nextera_702
82	Nextera_703
26	Nextera_704
9	Nextera_705
41	Nextera_706
21	Nextera_707
135461	Nextera_708
2	Nextera_709
22	Nextera_710
9	Nextera_711
76	Nextera_712
1	Nextera_701_Reversed:
5	Nextera_702_Reversed:
1	Nextera_703_Reversed:
2	Nextera_704_Reversed:
5	Nextera_706_Reversed:
3	Nextera_707_Reversed:
193	Nextera_708_Reversed:
13	Nextera_709_Reversed:
1	Nextera_710_Reversed:
2	Nextera_711_Reversed:
7	Nextera_712_Reversed:
1	rRNA_5.8S
891	rRNA_18S
84	rRNA_28S
200	EC2_RNA_SPIKE_1_(750_bp)
1529	HPV18
550	HPV18_as
