../DDBJ/1772-067-038_D07.2.fastq.bz2	Input file name.
04-11-2015; 7:52am	Date and Time
20.000000	selected threshold
1953697	total input reads
1769417	successfully extracted
90.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9063	low complexity
175217	match artifacts:
37947	Nextera_501
725	Nextera_502
7	Nextera_503
134036	Nextera_504
590	Nextera_505
21	Nextera_506
12	Nextera_507
13	Nextera_508
3	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_506_Reversed:
174	rRNA_18S
26	rRNA_28S
654	EC2_RNA_SPIKE_1_(750_bp)
13	EC15_RNA_SPIKE_4_(1000_bp)
702	HPV18
292	HPV18_as
