../DDBJ/1772-067-038_C03.2.fastq.bz2	Input file name.
04-11-2015; 7:05am	Date and Time
20.000000	selected threshold
1958217	total input reads
1782096	successfully extracted
91.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11212	low complexity
164909	match artifacts:
35887	Nextera_501
6899	Nextera_502
120387	Nextera_503
1	Nextera_504
8	Nextera_505
3	Nextera_506
139	Nextera_508
2	Nextera_701
1	Nextera_503_Reversed:
91	rRNA_18S
14	rRNA_28S
314	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
822	HPV18
340	HPV18_as
