../DDBJ/1772-067-039_H05.2.fastq.bz2	Input file name.
04-11-2015; 1:24pm	Date and Time
20.000000	selected threshold
5499	total input reads
3645	successfully extracted
66.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
419	low complexity
1435	match artifacts:
130	Nextera_501
37	Nextera_502
13	Nextera_503
1	Nextera_504
423	Nextera_508
1	Nextera_508_Reversed:
818	EC2_RNA_SPIKE_1_(750_bp)
9	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
1	HPV18
1	HPV18_as
