../DDBJ/1772-067-038_E06.2.fastq.bz2	Input file name.
04-11-2015; 8:23am	Date and Time
20.000000	selected threshold
989839	total input reads
873626	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5652	low complexity
110561	match artifacts:
27316	Nextera_501
141	Nextera_502
2	Nextera_503
39	Nextera_504
80033	Nextera_505
3	Nextera_506
5	Nextera_507
9	Nextera_508
1	Nextera_701
23	rRNA_18S
43	rRNA_28S
2677	EC2_RNA_SPIKE_1_(750_bp)
11	EC15_RNA_SPIKE_4_(1000_bp)
177	HPV18
81	HPV18_as
