../DDBJ/1772-064-103_D03.2.fastq.bz2	Input file name.
04-11-2015; 2:50am	Date and Time
20.000000	selected threshold
1531815	total input reads
1299685	successfully extracted
84.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1221	low complexity
230909	match artifacts:
35615	Nextera_501
615	Nextera_502
14	Nextera_503
186570	Nextera_504
937	Nextera_505
15	Nextera_506
14	Nextera_507
7	Nextera_508
19	Nextera_701
1	Nextera_501_Reversed:
1	Nextera_503_Reversed:
2	Nextera_504_Reversed:
1	Nextera_506_Reversed:
68	rRNA_18S
28	rRNA_28S
5442	EC2_RNA_SPIKE_1_(750_bp)
100	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
1055	HPV18
401	HPV18_as
