../DDBJ/1772-062-249_C11.1.fastq.bz2	Input file name.
04-10-2015;10:17pm	Date and Time
20.000000	selected threshold
1778840	total input reads
1538985	successfully extracted
86.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1715	low complexity
238140	match artifacts:
1	Nextera_501
37981	Nextera_701
19	Nextera_702
6102	Nextera_703
5	Nextera_704
18	Nextera_705
17	Nextera_706
13	Nextera_707
24	Nextera_708
20	Nextera_709
7	Nextera_710
165664	Nextera_711
20	Nextera_712
9	Nextera_701_Reversed:
23	Nextera_703_Reversed:
4	Nextera_704_Reversed:
1	Nextera_705_Reversed:
1	Nextera_706_Reversed:
47	Nextera_709_Reversed:
2960	Nextera_711_Reversed:
29	Nextera_712_Reversed:
2160	rRNA_18S
97	rRNA_28S
9772	EC2_RNA_SPIKE_1_(750_bp)
909	EC15_RNA_SPIKE_4_(1000_bp)
13	EC18_RNA_SPIKE_7_(1474bp)
9309	HPV18
2915	HPV18_as
