../DDBJ/1772-067-038_C07.1.fastq.bz2	Input file name.
04-11-2015; 7:17am	Date and Time
20.000000	selected threshold
2105696	total input reads
1885490	successfully extracted
89.5%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8930	low complexity
211276	match artifacts:
45424	Nextera_701
6935	Nextera_702
29	Nextera_703
90	Nextera_704
31	Nextera_705
26	Nextera_706
154588	Nextera_707
2	Nextera_708
36	Nextera_709
11	Nextera_710
15	Nextera_711
26	Nextera_712
3	Nextera_701_Reversed:
6	Nextera_702_Reversed:
4	Nextera_703_Reversed:
9	Nextera_704_Reversed:
1	Nextera_705_Reversed:
5	Nextera_706_Reversed:
197	Nextera_707_Reversed:
2	Nextera_708_Reversed:
14	Nextera_709_Reversed:
2	Nextera_710_Reversed:
2	Nextera_711_Reversed:
141	rRNA_18S
7	rRNA_28S
448	EC2_RNA_SPIKE_1_(750_bp)
2427	HPV18
795	HPV18_as
