../DDBJ/1772-062-248_C06.2.fastq.bz2	Input file name.
04-10-2015; 4:50pm	Date and Time
20.000000	selected threshold
1896595	total input reads
1673795	successfully extracted
88.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3436	low complexity
219364	match artifacts:
38604	Nextera_501
6990	Nextera_502
152844	Nextera_503
4	Nextera_504
4	Nextera_505
5	Nextera_506
2	Nextera_507
648	Nextera_508
33	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_503_Reversed:
1	Nextera_507_Reversed:
1	rRNA_5.8S
3958	rRNA_18S
180	rRNA_28S
12660	EC2_RNA_SPIKE_1_(750_bp)
1149	EC15_RNA_SPIKE_4_(1000_bp)
281	EC18_RNA_SPIKE_7_(1474bp)
1478	HPV18
520	HPV18_as
