../DDBJ/1772-062-248_C05.2.fastq.bz2	Input file name.
04-10-2015; 4:46pm	Date and Time
20.000000	selected threshold
1654080	total input reads
1450801	successfully extracted
87.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4131	low complexity
199148	match artifacts:
34542	Nextera_501
6196	Nextera_502
137912	Nextera_503
2	Nextera_504
5	Nextera_505
6	Nextera_506
4	Nextera_507
562	Nextera_508
27	Nextera_701
1	Nextera_502_Reversed:
2	Nextera_503_Reversed:
6	rRNA_5.8S
2164	rRNA_18S
107	rRNA_28S
8817	EC2_RNA_SPIKE_1_(750_bp)
781	EC15_RNA_SPIKE_4_(1000_bp)
99	EC18_RNA_SPIKE_7_(1474bp)
5813	HPV18
2102	HPV18_as
