../DDBJ/1772-064-103_F10.2.fastq.bz2	Input file name.
04-11-2015; 4:27am	Date and Time
20.000000	selected threshold
1571381	total input reads
1385537	successfully extracted
88.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1635	low complexity
184209	match artifacts:
29621	Nextera_501
466	Nextera_502
11	Nextera_503
6424	Nextera_504
18	Nextera_505
138858	Nextera_506
24	Nextera_507
5	Nextera_508
33	Nextera_701
1	Nextera_504_Reversed:
3	Nextera_506_Reversed:
1	Nextera_508_Reversed:
136	rRNA_18S
28	rRNA_28S
6838	EC2_RNA_SPIKE_1_(750_bp)
314	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
1056	HPV18
368	HPV18_as
