../DDBJ/1772-067-038_C04.2.fastq.bz2	Input file name.
04-11-2015; 7:09am	Date and Time
20.000000	selected threshold
1781055	total input reads
1610596	successfully extracted
90.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9792	low complexity
160667	match artifacts:
34104	Nextera_501
6573	Nextera_502
115393	Nextera_503
2	Nextera_504
6	Nextera_505
3	Nextera_506
2	Nextera_507
87	Nextera_508
3	Nextera_701
1	Nextera_501_Reversed:
2	Nextera_503_Reversed:
157	rRNA_18S
27	rRNA_28S
934	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2465	HPV18
907	HPV18_as
