../DDBJ/1772-067-038_C01.2.fastq.bz2	Input file name.
04-11-2015; 6:58am	Date and Time
20.000000	selected threshold
1908701	total input reads
1758192	successfully extracted
92.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9621	low complexity
140888	match artifacts:
30391	Nextera_501
5719	Nextera_502
101805	Nextera_503
2	Nextera_504
6	Nextera_505
5	Nextera_506
1	Nextera_507
106	Nextera_508
4	Nextera_701
2	Nextera_503_Reversed:
2	rRNA_5.8S
62	rRNA_18S
7	rRNA_28S
268	EC2_RNA_SPIKE_1_(750_bp)
1853	HPV18
655	HPV18_as
