../DDBJ/1772-067-039_B08.2.fastq.bz2	Input file name.
04-11-2015;10:47am	Date and Time
20.000000	selected threshold
1863477	total input reads
1699737	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8342	low complexity
155398	match artifacts:
33796	Nextera_501
115819	Nextera_502
239	Nextera_503
10	Nextera_504
15	Nextera_505
14	Nextera_506
4	Nextera_508
5	Nextera_701
4	rRNA_5.8S
977	rRNA_18S
91	rRNA_28S
318	EC2_RNA_SPIKE_1_(750_bp)
37	EC15_RNA_SPIKE_4_(1000_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
2878	HPV18
1190	HPV18_as
